Release Name	Release Meta Language	Orchard Artist	Artist Country	Subaccount Name	Artist URL	Release Artist(s)-Primary Artist(s)	Release Artist(s)-Featuring(s)	Release Artist(s)-Remixer(s)	Release Artist(s)-Composer(s)	Release Artist(s)-Orchestra(s)	Release Artist(s)-Ensemble(s)	Release Artist(s)-Conductor(s)	Release Date	Sale Start Date	iTunes Pre-Order	iTunes Pre-Order Date	Preorder Preview	Release iTunes Pricing	Release Amazon Pricing	Format: Full Length / EP / Single	Imprint	Genre	Sub-genre	[C] Information	Digital UPC	Manufacturer's UPC	Folder Name / Label Catalog Number	Release Version	File Name	Volume	Track No.	Track Name	Meta Language	Version	Track Artist	Track Artist(s) - Featuring(s)	Track Artist(s) - Remixer(s)	Track Artist(s) - Composer(s)	Track Artist(s) - Orchestra(s)	Track Artist(s) - Ensemble(s)	Track Artist(s) - Conductor(s)	Track iTunes Pricing	Track Amazon Pricing	Explicit (No/Yes/Clean)	ISRC	3rd Party Publisher? (Yes/No)	[P] Information	Songwriter(s)	Publisher(s)	Only Include/Only Exclude?	Territories (ISO Codes)
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_15.wav	1	15	Vladivostock	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399741	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_16.wav	1	16	Skinhead Stomp	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399740	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_17.wav	1	17	Tina	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399739	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_18.wav	1	18	Take the Skinheads Bowling	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0200232	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_19.wav	1	19	Mao Reminisces About His Days in Southern China	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399738	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_20.wav	1	20	I Don't See You	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399737	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_21.wav	1	21	Balalaika Gap	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399736	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_22.wav	1	22	Opi Rides Again	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399735	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_23.wav	1	23	Club Med Sucks	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399734	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Telephone Free Landslide Victory	English	Camper Van Beethoven	United Kingdom			Camper Van Beethoven							1/1/1985	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Rock	Alternative	1985 Cooking Vinyl		711297468724	11419		711297468724_1_24.wav	1	24	Ambiguity Song	English		Camper Van Beethoven							Front	Frontline	No	GBCEJ0399733	No	1985 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Step Outside	English	Oysterband	United Kingdom			Oysterband							1/1/1986	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Folk	Folk	1986 Cooking Vinyl		711297100129	COOKCD001		711297100129_1_1.wav	1	1	Hal-An-Tow	English		Oysterband							Front	Frontline	No	GBCEJ0599965	No	1986 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Step Outside	English	Oysterband	United Kingdom			Oysterband							1/1/1986	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Folk	Folk	1986 Cooking Vinyl		711297100129	COOKCD001		711297100129_1_2.wav	1	2	Flatlands	English		Oysterband							Front	Frontline	No	GBCEJ0599964	No	1986 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Step Outside	English	Oysterband	United Kingdom			Oysterband							1/1/1986	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Folk	Folk	1986 Cooking Vinyl		711297100129	COOKCD001		711297100129_1_3.wav	1	3	Another Quiet Night in England	English		Oysterband							Front	Frontline	No	GBCEJ0599963	No	1986 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
Step Outside	English	Oysterband	United Kingdom			Oysterband							1/1/1986	11/15/2016				Mid/Front	Frontline	Full Length	Cooking Vinyl	Folk	Folk	1986 Cooking Vinyl		711297100129	COOKCD001		711297100129_1_4.wav	1	4	Ashes to Ashes	English		Oysterband							Front	Frontline	No	GBCEJ0599962	No	1986 Cooking Vinyl	0		Only Include	DZ|AO|BJ|BW|BF|BI|CM|CV|CF|TD|KM|CG|CD|CI|DJ|EG|GQ|ER|ET|GA|GM|GH|GN|GW|KE|LS|LR|LY|MG|MW|ML|MU|MR|MA|MZ|NA|NE|NG|RW|ST|SN|SL|SC|SO|ZA|SZ|SD|TZ|TG|TN|UG|ZM|EH|ZW|AQ|BV|TF|HM|GS|AF|AZ|BH|BD|BT|IO|BN|KH|CN|CX|CC|HK|CC|IN|ID|IR|IQ|JP|JO|KW|LA|LB|MO|MY|MV|MN|MM|NP|KP|OM|PK|PS|PH|QA|SA|SG|KR|LK|SY|TW|TH|TL|AE|VN|YE|AX|AL|AD|AM|AT|BY|BE|BA|BG|HR|CY|CZ|DK|EE|FO|FI|FR|GE|DE|GL|GI|GR|GG|VA|HU|IS|IE|IM|IL|IT|JE|KZ|KG|LV|LI|LT|LU|MK|MT|YT|MD|MC|NL|NO|PL|PT|RE|RO|RU|SH|SM|CS|SK|SI|ES|SJ|SE|CH|TJ|TR|TM|UA|GB|UZ|AI|AG|AW|BS|BZ|BB|BM|CA|KY|CR|CU|DM|DO|SV|GD|GP|HT|GT|HN|JM|MQ|MX|UM|MS|NI|AN|PA|PR|KN|LC|PM|VC|TT|TC|US|VG|VI|AS|AU|CK|FJ|PF|GU|KI|MH|FM|NR|NC|NZ|NU|NF|MP|PW|PG|PN|WS|SB|TK|TO|VU|TV|WF|AR|BO|BR|CL|CO|EC|FK|GF|GY|PY|PE|SR|UY|VE
